section,link
언론사별,https://news.naver.com/?viewType=pc
정치,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=100
경제,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=101
사회,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=102
생활/문화,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=103
IT/과학,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=105
세계,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=104
랭킹,https://news.naver.com/main/ranking/popularDay.naver
신문보기,https://news.naver.com/newspaper/home?viewType=pc
오피니언,https://news.naver.com/opinion/home
TV,https://news.naver.com/main/tv/index.naver?mid=tvh
팩트체크,https://news.naver.com/main/factcheck/main.naver
알고리즘 안내,https://media.naver.com/algorithm
