제목,작가,별점,조회수
그때로 돌아갈 수 있다면,Twigim,8.84,37만
테이커,tmdq****,9.84,"6,032만"
데드리프트,남철,9.79,18만
악마의 천사,고드,9.54,1.6만
코드네임,아리,9.24,7.5만
고인물이 뉴비를 대하는 자세,원자번호20,8.99,2.1만
자작 보드게임 동아리,서전트황,9.77,778만
전직 히키코모리 갱생툰,힝,9.55,124만
마지막휴가,심승보,9.63,"1,104만"
부부사기단 늬우스,구영필,9.81,146만
분노조절잘해,나무,8.60,2.7만
도로시,두목토끼,9.15,3.6만
언제나 반짝이는,주주,9.10,17만
하루땃따,땃따,9.90,442만
어쩌다 주짓수,HereC,9.61,98만
힐러님 뭐해?,금요인,8.98,5.2만
교수도 사람이다,SAGA,9.76,436만
소도시에 삽니다,mini,9.90,228만
나홀로 짠,is****,9.85,99만
연방 흑마술 관리국,GOATEN,9.54,11만
스타트업 생존일기,99****,8.84,5.5만
라스가에!,nota****,9.84,3.5만
백일몽화원,안트로,9.70,176만
로잘린 5번가 사건의뢰소,로빈,9.46,5.1만
프로틴 서바이버,흥냐앗,8.98,1만
내 품 속 우주,소준,9.49,12만
가족이되는과정,hero****,9.86,104만
탈개의 그림일기,메탈개,9.73,2.5만
십이제이(1기),GArt,9.36,5.8만
서른 방학,썸머,9.70,4.3만
은해갑을깝치,쏘굿,9.16,20만
누루누루 음식만화,누루누루,9.91,"1,032만"
귀신사양복점인턴생,홍달희,9.20,8.5만
[BL]시나브로,시호 @blueciho,9.87,14만
수화상극,more****,9.30,2.6만
이상한 로맨스,귤 X 딸기,9.48,3.9만
직업 : 며느리,쿄쿄,9.51,211만
삼자대면,고냉,9.80,41만
부온아페티토_이탈리아,찌맥이언니,9.90,91만
라이즈(RISE),구씨,8.79,6.1만
내가 저주하는 히어로,꼬보,9.66,4.8만
오늘의 난,난그림,9.36,84만
전국팔도(徒) 마법소녀,골드뵤 x KIKI,8.91,7.2만
도화향,모로코,9.62,5.8만
1896 그날의 기록,항일의병기념공원,8.96,"7,008"
일상견문록,잼,9.83,177만
시크릿 스폰서,송지아,9.09,1.3만
xx프로그램,sw****,8.65,1.4만
작품은 작품으로 봐주세요,햇핫,8.40,3만
법치국가,이예목,9.50,15만
지구구구,허새보,9.12,"2,661"
버스터즈!,BBTAN,9.45,13만
헨젤과 마녀 그레텔,사영영,9.48,8.3만
"악녀,실격",니소라스#박건영,9.12,1.8만
황녀의 기사,MNBLUE,9.83,39만
예수쟁이 다이어리,왕두,9.34,108만
그랜드피날레,언리얼,9.52,1.5만
좌충우돌 미대생존기,이곰,9.65,43만
하와와 여고생짱은 이세계에 가고싶어,지노쿠마,9.15,"8,474"
둘이서 아싸 라이프,릴피자,9.56,34만
정크이터,오동,9.54,4.2만
봄이 자주 오는 이유,신서,8.81,13만
빛깔나는 로맨스,지이음,9.10,1.5만
나!나!나!,지이음,8.05,"5,649"
도담도담,진수,9.37,24만
봄날에,Sun Glass,8.47,"3,716"
ROCK 페스티벌,아리솔,8.26,1.1만
군하하하,쫑맨,8.95,4.4만
아파트단지 잔망스런 그녀들,김 영,7.93,"9,717"
도깨비신선,이갱,9.29,5.8만
도깨비신선,이갱,8.71,1만
제제와 함께,노아,9.46,272만
사랑의 혁명군,대현자연인,8.86,"7,123"
그 영애가 북부대공의 청혼을 거절한 이유,누아랑,9.32,6.6만
아무도 모르는 마녀,삼월산타,9.19,7.3만
